"Ano-calendário";"CNPJ";"Razão Social";"Nome Fantasia";"Código CNAE";"CNAE";"Município";"UF";"Valor Renúncia Fiscal (R$)"
"2024";"09216726000211";"AGROPECUARIA TREMBAO INVESTIMENTOS E PARTICIPACOES LTDA";"";"77195";"Locação de meios de transporte, exceto automóveis, sem condutor";"VITÓRIA";"ES";"2410438,00"
"2024";"00271847000100";"IMETAME ENERGIA S.A";"IMETAME ENERGIA";"06000";"Extração de petróleo e gás natural";"ARACRUZ";"ES";"2406844,00"
"2024";"05060037000552";"SAUVET INDUSTRIA FARMACEUTICA E VETERINARIA LTDA";"";"00000";"Sem informação";"CAMPINAS";"SP";"2405108,00"
"2024";"02734023001399";"FIAGRIL LTDA";"FIAGRIL";"46834";"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo";"LUCAS DO RIO VERDE";"MT";"2400823,00"
"2024";"07104700000256";"SUNNY INTERNATIONAL FOOD COMERCIO DE ALIMENTOS LTDA.";"INTERFOOD AMERICA LATINA";"46311";"Comércio atacadista de leite e laticínios";"SERRA";"ES";"2383725,00"
"2024";"06880996000153";"CISBRA QUIMICA DO BRASIL LTDA";"CISBRA-FOL";"20134";"Fabricação de adubos e fertilizantes";"FORMOSA";"GO";"2379606,00"
"2024";"34259764000541";"MOINHO CENTRO NORTE LTDA EM RECUPERACAO JUDICIAL";"MOINHO CENTRO NORTE";"10627";"Moagem de trigo e fabricação de derivados";"MACEIÓ";"AL";"2378222,00"
"2024";"18279158001007";"RIMA INDUSTRIAL S/A";"";"24121";"Produção de ferroligas";"CAPITÃO ENÉAS";"MG";"2376410,00"
"2024";"59743773000100";"IPEL-ITIBANYL PRODUTOS ESPECIAIS LTDA.";"";"20991";"Fabricação de produtos químicos não especificados anteriormente";"JARINU";"SP";"2374240,00"
"2024";"43449476000389";"DI TRENTO BRASIL LTDA";"DI TRENTO BRASIL";"46915";"Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios";"MUNDO NOVO";"MS";"2367504,00"
"2024";"19585158000360";"CARDINAL HEALTH DO BRASIL LTDA.";"";"46648";"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças";"CAJAMAR";"SP";"2361402,00"
"2024";"44844515000143";"CLEAN AMAZONAS LTDA.";"CLEAN AMAZONAS LTDA.";"22293";"Fabricação de artefatos de material plástico não especificados anteriormente";"MANAUS";"AM";"2360152,00"
"2024";"12194903000806";"EBES SISTEMAS DE ENERGIA SA";"";"00000";"Sem informação";"BELO HORIZONTE";"MG";"2358190,00"
"2024";"09658297000151";"SAF - INDUSTRIA E COMERCIO DE FILTROS LTDA.";"SOUTH AMERICAN FILTERS";"12204";"Fabricação de produtos do fumo";"SÃO PAULO";"SP";"2356227,00"
"2024";"24300062000187";"BIZZI GUIDOLIN COMERCIO DE ARROZ LTDA";"JUNMAI";"10619";"Beneficiamento de arroz e fabricação de produtos do arroz";"SANTA MARIA";"RS";"2356143,00"
"2024";"00581615000159";"VOARE TAXI AEREO LTDA";"VOARE TAXI AEREO";"51129";"Transporte aéreo de passageiros não-regular";"BOA VISTA";"RR";"2355995,00"
